No.,Institution,Contract,Supplier,Date,Amount
1,Министерство за култура,Изградба на нов објект Драмски театар во Скопје,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",15.05.2017,627015885
2,АД Електрани на Македонија - Скопје,"Услуга од ископ на јаглен и јаловина за ПЕ Рудници, РЕК Битола","Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",08.11.2017,436917184
3,Јавно претпријатие за државни патишта,Поправка и рехабилитација на регионални патишта,"Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица, STRABAG AG, Друштво за градежништво БЕТОН Акционерско друштво Скопје,
Градежно друштво ГРАНИТ АД-Скопје, Трговско друштво за градежништво производство трговија и угостителство ИЛИНДЕН АД Струга, Друштво за производство трговија и услуги ЕСКАВАТОРИ-МК ДООЕЛ увоз-извоз-Скопје",21.04.2017,300000000
4,АД Електрани на Македонија - Скопје,"Услуга од ископ на јаглен и јаловина за ПЕ Рудници, РЕК Битола","Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",12.12.2017,290280000
5,АД Електрани на Македонија - Скопје,Осигурување на имот и други осигурувања на АД ЕЛЕМ,Осигурување МАКЕДОНИЈА а.д.Скопје-Виена Иншуренс Груп,23.01.2017,261908144
6,Министерство за здравство,Набавка на Вакцини за континуирана имунизација и вакцини по епидемиолошки индикатори за потребите на населението за периодот од јуни 2016 до јуни 2018 година,Друштво за производство и промет на хемиски и козметички производи ЕЛБИЈОР ДОО увоз-извоз Скопје,03.02.2017,251627164
7,ЕВН Македонија АД- Скопје,Набавка на услуга за обезбедување на имот и лица и патролно обезбедување на дистрибутивната мрежа,Друштво за услуги СЕКЈУРИТИ ГРУП СЕРВИСИС ДООЕЛ Скопје,28.07.2017,237475000
8,АД Електрани на Македонија - Скопје,Услуга од специјализирана работна рака за ремонтни активности во ТЕ Битола за 2016год. и 2017год,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",10.01.2017,218243973
9,АД Електрани на Македонија - Скопје,"Услуга од помошна и градежна меџанизација за булдожер,камиони,компресор,утоварна лопата-гасеничар,цистерни и автодигалки, за ПЕ Рудници, РЕК Битола","Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",31.08.2017,200600000
10,ЈП Македонијапат - Скопје,Набавка на битумен БИТ 50/70,"Друштво за промет на големо и мало, застапување, посредување и реекспорт КИ-ЕМ ДООЕЛ експорт-импорт Скопје",28.07.2017,188575800
11,АД Електрани на Македонија - Скопје,Надградба на Ovation управувачки систем,IVDAM PROCESS CONTROL,22.05.2017,181412683
12,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект 1.12 Реонски центар Аеродром во Скопје,"Друштво за производство,трговија градежништво и услуги ДЕКОН-КОМ ДООЕЛ увоз-извоз Скопје",16.10.2017,175879000
13,М.Ж. Транспорт АД-Скопје,Електрична енергија,ЕНЕРГЕТСКА ФИНАНСИСКА ГРУПА АД Софија - Подружница Скопје Република Македонија,30.06.2017,153400000
14,ЈП Водовод и канализација - Скопје,Електрична енергија по спецификација,"Друштво за производство,трговија и услуги МИСТ ЕНЕРЏИ ДООЕЛ Скопје",07.08.2017,141600000
15,Министерство за образование и наука,Санација/ адаптација со замена на дотраени градежни материјали и облоги на Блок В и Г од СД “Гоце Делчев”-Скопје,"Друштво за градежништво,трговија и услуги НБ-ЦОМПАНУ ДОО Тетово",30.03.2017,139149461
16,АД Електрани на Македонија - Скопје,Услуга од специјализирана работна рака за ремонтни активности во ТЕ Битола за 2016год. и 2017год,"Друштво за изградба,производство на опрема,монтажа на енергетски и индустриски објекти МОНТИНГ ЕНЕРГЕТИКА ДОО Скопје",10.01.2017,138062265
17,АД Електрани на Македонија - Скопје,Светли деривати за сопствени бензиски пумпи за потребите на подружници на АД ЕЛЕМ(Еуродизел БС (ДЕ-V) и Еуросупер БС 95),"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",04.04.2017,135936000
18,ЕВН Македонија АД- Скопје,"Eнергетски кабли со пластична Изолација, Номинален напон U0/U 0,6/1 kV",Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,13.06.2017,135051000
19,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ Универзитетска клиника за радиотерапија и онкологија,"Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје",29.05.2017,132825000
20,АД Електрани на Македонија - Скопје,Работно коло за млински вентилатор за РЕК Битола,Челичен лив и гранулат ЖЕЛЕЗНИК АД Сопотница Демир Хисар,30.06.2017,130958760
21,Министерство за образование и наука,Откуп на учебници за основно образование и придружен дадактички и работен материјал за адаптираните учебници од странство за учебната 2017/2018 година,Друштво за графички услуги и трговија АРС ЛАМИНА ДОО Скопје,16.08.2017,124860902
22,ЕВН Македонија АД- Скопје,Отстапување на работници за вршење привремени работи преку агенција за привремено вработување,Агенција за привремени вработувања АРБЕИТ ДЕ Скопје,05.07.2017,124823232
23,Министерство за внатрешни работи на РМ,Моторен бензин Еуросупер БС 95,Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,23.11.2017,118000000
24,Јавно претпријатие за државни патишта,Електрична енергија во времетраење од две години,"ЕВН Македонија Електроснабдување ДООЕЛ Скопје, Друштво за снабдување со електрична енергија",21.06.2017,118000000
25,АД Електрани на Македонија - Скопје,Услуга од специјализирана работна рака за ремонтни активности во ТЕ Битола за 2016год. и 2017год,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,10.01.2017,112512952
26,АД Електрани на Македонија - Скопје,"Услуга од помошна и градежна меџанизација за булдожер,камиони,компресор,утоварна лопата-гасеничар,цистерни и автодигалки, за ПЕ Рудници, РЕК Битола","Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",31.03.2017,110920000
27,ЕВН Македонија АД- Скопје,Осигурување на имот,Друштво за осигурување УНИКА А.Д. - Скопје,13.02.2017,110700018
28,АД Електрани на Македонија - Скопје,Услуга од специјализирана работна рака за ремонтни активности во ТЕ Битола за 2016год. и 2017год,"Друштво за изградба,производство на опрема,монтажа на енергетски и индустриски објекти МОНТИНГ ЕНЕРГЕТИКА ДОО Скопје",10.01.2017,109397800
29,Јавно претпријатие за државни патишта,Реконструкција на државен пат Р2133 делница Ропалце – Матејче - Липково,Друштво за градежништво БЕТОН Акционерско друштво Скопје,18.08.2017,106490436
30,ЈП Комунална хигиена Скопје,Услуга за ангажирање на агенција за привремени вработувања,Агенција за привремени вработувања Мотиви Скопје,20.07.2017,106200000
31,Министерство за образование и наука,откуп на учебници за основно образование и придружен дадактички и работен материјал за адаптираните учебници од странство за учебната 2017/2018 година,"Друштво за продукција,маркетинг,дизајн,промет и услуги АРБЕРИА-ДЕСИГН ДООЕЛ експорт-импорт Тетово",16.08.2017,101662667
32,ЕВН Македонија АД- Скопје,Склучување на рамковни спогодби за земјено-градежни и електромонтажни работи за корисничко-енергетски центри на ЕВН Македонија АД Скопје,Друштво за градежништво трговија и услуги АДРА ДООЕЛ увоз-извоз Скопје,12.04.2017,99120000
33,Министерство за образование и наука,Набавка на опрема за државните студенски домови,Друштво за трговија на големо и мало ОФИС и КО.ДОО увоз-извоз Скопје,10.01.2017,98398076
34,Агенција за храна и ветеринарство,Лабoраториски услуги за здравствена заштита на животните,Факултет за ветеринарна медицина,09.03.2017,96000000
35,ЈП Улици и Патишта - Скопје,Градежни работи,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје, Друштво за градежништво, трговија и услуги ГАМА ГРАДБА ДООЕЛ Скопје",19.05.2017,94400000
36,Јавно сообраќајно претпријатие СКОПЈЕ,Еуродизел БС (Д-ЕV),Акционерско друштво за продажба и транспорт на нафтени деривати АЛОВ АД Гевгелија,18.02.2017,94400000
37,Јавно претпријатие за државни патишта,"Градежно санациони работи на мост бр. 1, р. Вардар кај Удово, на Р1105",Друштво за завршни работи во градежништвото и трговија на големо и мало СИНТЕК ДОО увоз извоз Скопје,20.07.2017,91680644
38,Јавно претпријатие за државни патишта,Банкарски услуги во времетраење од три години,ХАЛК БАНКА АД Скопје,09.02.2017,90000000
39,Народна банка на Република Македонија,Книжни пари изработени од полимер,De La Rue International Limited,19.09.2017,89647750
40,ЈП Македонијапат - Скопје,Индустриска сол за зимско одржување на патишта-рефус,"Друштво за трговија,производство и услуги ДИМАКС РУДНИЦИ ДООЕЛ Сопотница, Демир Хисар",26.09.2017,86135280
41,Општина Куманово,Превоз на ученици во основни и средни училишта во Општина Куманово,"Друштво за превоз,производство,трговија и услуги ОЛИ-ТРАВЕЛ ДООЕЛ увоз-извоз Куманово",10.04.2017,84297345
42,ЕВН Македонија АД- Скопје,Сервисирање на моторни возила во ЕВН Македонија,"Друштво за производство, трговија и услуги ФЛИТ КОНСАЛТИНГ извоз-увоз ДОО Скопје",27.02.2017,82600000
43,Јавна Здравствена установа ЗДРАВСТВЕН ДОМ НА СКОПЈЕ ЦО Скопје,"Набавка на тестови, реагенси и потрошен материјал за имунолошки анализатор модел Immulite",Друштво за промет и услуги АВИЦЕНА ДОО експорт-импорт Скопје,02.11.2017,81645683
44,Општина Тетово,Интервентни санациони-градежни работи на инфраструктурни објекти вo Општина Тетово,"Друштво за градежништво,трговија и услуги НБ-ЦОМПАНУ ДОО Тетово",12.05.2017,80181000
45,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ Универзитетска клиника за радиотерапија и онкологија,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",29.05.2017,78351000
46,Општина Струмица,Изведба на работи- За изведба на улици и уредување на градежно земјиште по програми за 2017 година на општина Струмица,"Друштво за производство,услуги и трговија увоз-извоз УНИВЕРЗАЛ ГРАДБА ДООЕЛ Струмица",30.06.2017,78000000
47,Јавно претпријатие за државни патишта,Осветлување на дел од автопат А2 и А4 (делница клучка Хиподром – клучка Белви – клучка Илинден и делница клучка Хиподром – клучка Кадино),"Друштво за трговија, производство и услуги ЕЛМОНД ЕЛЕКТРО ДООЕЛ експорт импорт Скопје",16.02.2017,77560008
48,ЈЗУ Институт за трансфузиона медицина на Република Македонија Скопје,Лекови - фактори на коагулација,Друштво за увоз-извоз и трговија на големо СЕПТИМА ДООЕЛ Скопје,01.12.2017,75086823
49,ЈП Македонски шуми п.о - Скопје,Нафта и нафтени деривати,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,21.07.2017,73719299
50,Министерство за здравство,Лекови за лекување на ретки болести,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,18.07.2017,72494610
51,Дирекција за технолошки индустриски развојни зони,Изведба на дел (втора фаза) од инфраструктура за ТИРЗ „Струмица“ и Изградба на пристапен пат до ТИРЗ „Струмица“,Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,28.03.2017,72098000
52,Јавно претпријатие за железничка инфраструктура Македонски железници - Скопје,ревизија на вагони и машини,"Трговско друштво за сообраќај, внатрешен и надворешен промет КВАНТУМ ДОО Скопје",23.05.2017,71980000
53,Јавно претпријатие за државни патишта,Рехабилитација на сообраќајна возна лента на државен пат А1 делница Велес (Штипска клучка) – Градско и Градско – Велес (Штипска клучка),Друштво за производство трговија и услуги ЕСКАВАТОРИ-МК ДООЕЛ увоз-извоз-Скопје,15.02.2017,69609640
54,Дирекција за технолошки индустриски развојни зони,Изведба на надворешна хидротехничка инфраструктура за ТИРЗ Струмица,Трговско друштво за производство проектирање и инженеринг ВАРДАРГРАДБА ДОО с.Трубарево - Скопје,21.06.2017,69376740
55,АД Електрани на Македонија - Скопје,Услуга од специјализирана работна рака за ремонтни активности во ТЕ Битола за 2016год. и 2017год,"Друштво за проектирање, производство и монтажа на челични конструкции и опрема, увоз-извоз ФАКОМ АД - Скопје",10.01.2017,67699786
56,Јавно претпријатие за државни патишта,Изградба на мост на државен пат Р2136 на река Пчиња кај Коњаре,Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,05.10.2017,67142000
57,АД Електрани на Македонија - Скопје,Осигурување на имот и други осигурувања на АД ЕЛЕМ,Осигурување МАКЕДОНИЈА а.д.Скопје-Виена Иншуренс Груп,23.01.2017,66000000
58,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ Универзитетска клиника за радиотерапија и онкологија и ЈЗУ Клиничка болница Др. Трифун Пановски,Трговско друштво за внатрешен и надворешен промет ЗЕГИН ДОО Скопје,28.07.2017,65958146
59,"ЕВН Електродистрибуција Дооел Скопје, Друштво за дистрибуција на електрична енергија",Набавка на нафтени деривати (гориво) со користење на безготовинска картичка за плаќање,Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,04.01.2017,65946183
60,Царинска управа на РМ,"Набавка на контролни марки за обележување на тутунски добра, меѓупроизводи и етил алкохол",Друштво за производство и трговија БАТО ЕНД ДИВАЈН ГРАФИКС ЦЕНТАР ДООЕЛ увоз-извоз Скопје,08.02.2017,65419200
61,АД Електрани на Македонија - Скопје,Резервни делови за парна турбина К-235-130-3М,Kedra,26.05.2017,65372000
62,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект Ѓорѓи Василев бр.44 во Струмица,Друштво за производство трговија угостителство градежништво и услуги АТРИУМ ДОО увоз-извоз Вевчани С,13.01.2017,64243049
63,АД Електрани на Македонија - Скопје,Услуга од специјализирана работна рака за ремонтни активности во ТЕ Битола за 2016год. и 2017год,"Друштво за проектирање, производство и монтажа на челични конструкции и опрема, увоз-извоз ФАКОМ АД - Скопје",10.01.2017,63424713
64,АД Електрани на Македонија - Скопје,Услуга од специјализирана работна рака за ремонтни активности во ТЕ Битола за 2016год. и 2017год,"Друштво за услуги, производство и трговија ШКОРПИОН ГРУП увоз-извоз ДООЕЛ Битола",10.01.2017,62795824
65,Град Скопје,"Набавка, транспорт и монтажа на реквизити за забавен парк - Скопје.","Друштво за производство, трговија и услуги БОМИНГ Оливер и др. ДОО Експорт-Импорт-Скопје",27.02.2017,61509860
66,Јавна Здравствена установа ЗДРАВСТВЕН ДОМ НА СКОПЈЕ ЦО Скопје,"Набавка на апарат за магнетна резонанса со јачина на магнетно поле од минимум 1,5Т ","Друштво за производство, трговија, услуги и сервисирање ЕКСПЕКТА МЕДИКАЛ ДООЕЛ увоз-извоз Скопје",10.10.2017,60180000
