No.,Institution,Contract,Supplier,Date,Amount
1,Производство на топлина Балкан Енерџи ДООЕЛ Скопје,Природен гас до 86.000.000Nm3,Друштво за производство на електрична и топлинска енергија ТЕ-ТО АД-Скопје,25.01.2018,1183274000
2,Јавно претпријатие за државни патишта,Поправка и рехабилитација на државни патишта ,"Друштво за градежништво БЕТОН АД Скопје, ДГТ Жикол ДООЕЛ, СТРАБАГ АГ, Друштво за градежништво, производство и инженеринг увоз-извоз Пелагонија АД Гостивар, Трговско друштво за градежништво, производство, трговија и угостителство ИЛИНДЕН АД, ГД ГРАНИТ АД Скопје, ДПТУ Ескаватори МК ДООЕЛ увоз-извоз Скопје",04.07.2018,944000000
3,Јавно сообраќајно претпријатие СКОПЈЕ,Еуродизел БС (Д-Е V),"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница ",21.06.2018,944000000
4,Министерство за здравство,"Инсулин, глукагон, инсулински игли и ленти за мерење шеќер и инсулински пумпи со потрошен материјал за периодот септември 2018 - септември 2010 за потребите на населението на РМ","Друштво за трговија, производство и услуги ФЕНИКС ФАРМА ДООЕЛ Скопје",31.12.2018,586219305
5,Државна видеолотарија на Република Македонија,Набавка на видео лотариски терминали,Euro Games Technology Ltd.,16.04.2018,456465300
6,Министерство за здравство,"Инсулин, глукагон, инсулински игли и ленти за мерење шеќер и инсулински пумпи со потрошен материјал за периодот септември 2018 - септември 2010 за потребите на населението на РМ","Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",31.12.2018,407730942
7,АД Електрани на Македонија - Скопје,"Ископ на јаглен и јаловина во ПЕ Рудници, РЕК Битола",Друштво за градежништво и услуги ПЕЛИСТЕР Битола ДОО,13.07.2018,377600000
8,Јавно претпријатие за државни патишта,Поправка и рехабилитација на државни патишта од А категорија.,"Компанија Ескаватори Урошевац, Градежно друштво ГРАНИТ АД Скопје, Трговско друштво за градежништво, производство, трговија и угостителство ИЛИНДЕН АД Струга, Трговско друштво за градежништво, производство и инженеринг, увоз-извоз ПЕЛАГОНИЈА АД ГОСТИВАР, Друштво за производство, услуги и трговија увоз-извоз ВЕ-ГРУПА ДООЕЛ Радовиш, Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт-импорт Струмица",02.05.2018,354000000
9,ЈП Македонија пат- Скопје,Набавка на стоки - Битумен 50/70,"Друштво за промет на големо и мало, застапување, посредување и реекспорт КИ-ЕМ ДООЕЛ експорт-импорт Скопје",20.08.2018,335786700
10,ЕВН Македонија АД- Скопје,"Центрифугирани армиранобетонски столбови, конзоли и ногари за надземни мрежи со номинален напон 0,4kV, 20 kV и 35 kV и центрифугирани армиранобетонски столбни трафостаници","Фабрика КАРПОШ-Акционерско друштво за проектирање,производство и монтажа на бетонски префабрикати,станови,индустриски објекти,мостови и далноводи Скопје",17.04.2018,300516641
11,Министерство за здравство,Лекови за лекување на ретки болести ,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,30.07.2018,269742468
12,АД Електрани на Македонија - Скопје,Услуга од градежна механизација на повик за РЕК Битола,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",26.06.2018,252176620
13,Служба за општи и заеднички работи на Владата на Република Македонија,Одржување на хигиена и тековно одржување на објектите на државната управа,"Друштво за производство, трговија и услуги СЕРТА ДООЕЛ увоз-извоз Скопје",20.09.2018,247799178
14,Дирекција за технолошки индустриски развојни зони,Изведба на денивелиран патен јазол за ТИРЗ Прилеп,"Фабрика КАРПОШ-Акционерско друштво за проектирање,производство и монтажа на бетонски префабрикати,станови,индустриски објекти,мостови и далноводи Скопје ",12.04.2018,240229127
15,АД Електрани на Македонија - Скопје,Услуга од градежна механизација на повик за РЕК Битола,"Друштво за производство,трговија,услуги и транспорт МИС-КОМЕРЦ Митко ДООЕЛ експорт-импорт Скопје",26.06.2018,227541760
16,Министерство за здравство,"Инсулин, глукагон, инсулински игли и ленти за мерење шеќер и инсулински пумпи со потрошен материјал за периодот септември 2018 - септември 2010 за потребите на населението на РМ","Друштво за производство, трговија и услуги ФАРМА ТРЕЈД ДООЕЛ увоз-извоз Скопје",31.12.2018,219719325
17,Министерство за здравство,"Инсулин, глукагон, инсулински игли и ленти за мерење шеќер и инсулински пумпи со потрошен материјал за периодот септември 2018 - септември 2010 за потребите на населението на РМ",Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,31.12.2018,216022422
18,АД Електрани на Македонија - Скопје,Набавка и испорака на гумени транспортни ленти за потребите на РЕК Битола,Zhejiang Zunhua Rubber & Plastic Industrial Co Ltd,26.02.2018,210415688
19,Служба за општи и заеднички работи на Владата на Република Македонија,Одржување на хигиена и тековно одржување на објектите на државната управа,"Друштво за производство,трговија,посредување и услуги БАПАЛ Благој ДООЕЛ експорт-импорт,Скопје",21.09.2018,204493570
20,Служба за општи и заеднички работи на Владата на Република Македонија,Физичко обезбедување на објектите на државната управа,Друштво за обезбедување на лица и имот НИКОБ ДОО експорт-импорт Скопје,02.10.2018,188799979
21,ЕВН Македонија АД- Скопје,Целосно електронски еднофазни броила за директно приклучување,"Друштво за трговија, производство, услуги и сервис ИСКРА АТГ ДОО Скопје",09.01.2018,186298813
