No.,Institution,Contract,Supplier,Date,Amount
1,"Министерство за земјоделство, шумарство и водостопанство",Изградба на брана “Конско“- Гевгелија,SERKA TAAHHUT INSAAT AS,27.10.2015,2442281400
2,Министерство за образование и наука,"Изградба на Факултет за физичко образование спорт и здравје при Универзитет Св. Кирил и Методиј, Скопје и Изградба на објект за Факултет за информатички науки и компјутерско инженерство, подземни гаражи и партерно уредување при Универзитет Св. Кирил и Методиј, Скопје",Градежно трговско друштво БЕТОН-ШТИП акционерско друштво Штип,26.11.2015,784641590
3,Служба за општи и заеднички работи на Владата на Република Македонија,"Одржување на хигиена, услуги за тековно одржување, дактилографски услуги, услуги за обезбедување ПП заштита и услуги за оперирање со ТТ централи за органите на Државната управа ",Друштво за обезбедување и услуги СЕКЈУРИКОМ МУЛТИСЕРВИС ИНТЕРНАЦИОНАЛ ДОО Скопје,31.08.2015,660834855
4,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект Државни институции ГП 7.1.1 ДУП Централно градско подрачје на Град Скопје-Мал Ринг во Скопје,"Друштво за производство,трговија градежништво и услуги ДЕКОН-КОМ ДООЕЛ увоз-извоз Скопје",20.08.2015,612902378
5,Министерство за образование и наука,"Изградба на Факултет за физичко образование спорт и здравје при Универзитет Св. Кирил и Методиј, Скопје и Изградба на објект за Факултет за информатички науки и компјутерско инженерство, подземни гаражи и партерно уредување при Универзитет Св. Кирил и Методиј, Скопје",Градежно трговско друштво БЕТОН-ШТИП акционерско друштво Штип,26.11.2015,432939675
6,Министерство за здравство,Набавка на лекови за потребите на Јавните здравствени установи во Република Македонија,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,14.08.2015,431811053
7,Министерство за здравство,Набавка на биохемиски тестови  за потребите на Јавните здравствени установи во Република Македонија,Друштво за промет и услуги БИОТЕК ДОО експорт-импорт Скопје,08.10.2015,430028518
8,Министерство за здравство,Набавка на лекови за потребите на Јавните здравствени установи во Република Македонија,"Друштво за трговија, производство и услуги ФЕНИКС ФАРМА ДООЕЛ Скопје",19.08.2015,395510594
9,Министерство за внатрешни работи на РМ,Телекомуникациски услуги за потребите на Министерството за внатрешни работи,Македонски Телеком Акционерско друштво за електронски комуникации - Скопје,01.04.2015,354000000
10,АД Електрани на Македонија - Скопје,Услуга од помошна механизација на повик за потребите на РЕК Битола,"Друштво за производство, трговија и услуги РУБИТОН увоз-извоз ДООЕЛ Битола",09.02.2015,346920000
