No.,Institution,Contract,Supplier,Date,Amount
1,Производство на топлина Балкан Енерџи ДООЕЛ Скопје,Набавка на природен гас до 63.000.000Nm3,Друштво за производство на електрична и топлинска енергија ТЕ-ТО АД-Скопје,02.10.2019,1330278474
2,Јавно претпријатие за државни патишта,Поправка и рехабилитација на државни патишта,"Друштво за градежништво, производство и инженеринг увоз-извоз ПЕЛАГОНИЈА АД Гостивар; Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ Струмица; Друштво за производство трговија и услуги ЕСКАВАТОРИ - МК ДООЕЛ Скопје; Друштво за градежништво, производство, трговија и услуги, увоз-извоз БИТЕМ ДООЕЛ Скопје; ГД ГРАНИТ АД Скопје; Трговско друштво за градежништво, производство, трговија и угостителство ИЛИНДЕН АД; Друштво за производство, услуги и трговија увоз-извоз ВЕ ГРУПА ДООЕЛ Радовиш; Друштво за транспорт, градежништво и трговија ВАТО ДОО Студеничани",10.07.2019,944000000
3,ЕВН Македонија АД- Скопје,Набавка на целосно електронски трифазни броила за директно приклучување,"Iskraemeco, d.d.",09.07.2019,840727368
4,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје","Ископ на јаглен и јаловина во ПЕ Рудници, РЕК Битола",Друштво за градежништво и услуги ПЕЛИСТЕР Битола ДОО,20.05.2019,776440000
5,ЕВН Македонија АД- Скопје,"Услуга за обезбедување на имот, лица и патролно обезбедување на дистрибутивната мрежа на територија на Р.Македонија",Друштво за обезбедување на лица и имот НИКОБ ДОО експорт-импорт Скопје,30.05.2019,714108529
6,Дирекција за задолжителни резерви на нафта и нафтени деривати,Делива набавка на Еуродизел БС (Д-Е-V) (Дизел гориво EN 590) во количина до 21.524.400 литри,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,11.11.2019,580833333
7,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект ГП 2.02 од ДУП Градска Четврт С 16- Општина Бутел (стара ознака Босна и Херцеговина Б 9.3 О-4) во Скопје,Трговско друштво за производство проектирање и инженеринг ВАРДАРГРАДБА ДОО с.Трубарево - Скопје,02.04.2019,520993600
8,"Акционерско друштво за производство на електрична енергија ЕЛЕКТРАНИ НА СЕВЕРНА МАКЕДОНИЈА, во државна сопственост, Скопје",Санација на армирано-бетонски плашт на разладна кула 2 и замена на азбест цементните елементи на росиштето на разладната кула на Блок 2 со нови еколошки материјали (РЕК Битола),"Друштво за изградба и одржување на топлотехнички постројки,трговија и услуги ВАТРОСТАЛНА Михајло и останати Друштво со ограничена одговорност Скопје",02.09.2019,421260000
9,Министерство за внатрешни работи на РМ,Телекомуникациски услуги за потребите на МВР за период од три години,Македонски Телеком Акционерско друштво за електронски комуникации - Скопје,07.06.2019,354000000
10,Јавно претпријатие за државни патишта,"Докомплетирање на градежни работи за изградба на автопат А4, делница Миладиновци – Свети Николе - Штип.",Градежно друштво ГРАНИТ АД-Скопје,04.07.2019,353671538
