No.,Institution,Contract,Supplier,Date,Amount
1,АД Електрани на Македонија - Скопје,"Ископ на јаглен и јаловина во јагленово наоѓалиште Брод – Гнеотино, РЕК Битола, со дотур на јаглен до ТЕ Битола, со дисконтинуирана технологија и во ориентациона количина од 8.000.000 m3, во се според Техничката Спецификација.",Група понудувачи формирана од :ГД ГРАНИТ АД Скопје и ДГУ ПЕЛИСТЕР ДОО,07.09.2009,492000000
2,Министерство за информатичко опшество и администрација,Набавка и инсталација на информатичка опрема за основните училишта,Хаиер Електрикал Аплианцес Корп.Лтд,09.12.2009,464715884
3,Министерство за транспорт и врски,Подготовка на основна техничка документација за кабинска еднојажна жичарница за превоз на лица со кружен ток на траса Скопје-Водно во три секции и изградба и пробно пуштање во употреба до издавање на употребна дозвола на Секција 1: Средно Водно-Милениумски крст,DOPPELMAYR Selibahnen Gmbh,02.10.2009,407800000
4,ЕВН Македонија АД- Скопје,Набавка на трифазни електронски броила,Искра АТГ ДОО,20.05.2009,390590924
5,Дирекција за технолошки индустриски развојни зони,"Изведба на улици и други пропратни објекти во ТИРЗ ""Штип"".",ГД Гранит АД Скопје,18.12.2009,371379674
6,Министерство за здравство,Набавка на вакцини против Хуман Папиломавирус(ХПВ),КЕМО ФАРМ,13.05.2009,325004400
7,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,ЛЕКОВИ ЗА ПОТРЕБИТЕ НА ЈЗУ УКРО ЗА 2009-2010,ПРОМЕДИКА,21.07.2009,274948517
8,Агенција за државни патишта,Изработка на техничка документација на ниво на Основен и Изведбен проект за автопатско решение на делницата Миладиновци – Св. Николе – Штип,"Друштво за планирање, проектирање и инженеринг ПРОСТОР ДОО - Куманово",11.11.2009,261960000
9,Министерство за здравство,Изградба на објект за дијагностички центар за потрбите на ЈЗУ Клиничка болница Тетово,"ТДГ :""МАВРОВОИНЖИНЕРИНГ"" ДОО",11.08.2009,204205676
10,АД Електрани на Македонија - Скопје,ЈН 107/2009 Купопродажба на светли нафтени деривати,Макпетрол АД Скопје,11.09.2009,194999520
11,АД Електрани на Македонија - Скопје,"Ископ транспорт и разатирање на цца 6.000.000 m3, цврста маса – јаглен и јаловина во јагленово наоѓалиште Суводол – РЕК Битола, со дисконтинуирана технологија, според техничка спецификација",РУД КОП,26.08.2009,174166666
12,АД Електрани на Македонија - Скопје,"Ископ транспорт и разатирање на цца 6.000.000 m3, цврста маса – јаглен и јаловина во јагленово наоѓалиште Суводол – РЕК Битола, со дисконтинуирана технологија, според техничка спецификација",СИЛЕКС НЕМЕТАЛИ КРАТОВО,26.08.2009,174166666
13,АД Електрани на Македонија - Скопје,"Ископ транспорт и разатирање на цца 6.000.000 m3, цврста маса – јаглен и јаловина во јагленово наоѓалиште Суводол – РЕК Битола, со дисконтинуирана технологија, според техничка спецификација",ТРАНС МЕТ СКОПЈЕ,26.08.2009,174166666
14,АД Електрани на Македонија - Скопје,"Ископ транспорт и разатирање на цца 6.000.000 m3, цврста маса – јаглен и јаловина во јагленово наоѓалиште Суводол – РЕК Битола, со дисконтинуирана технологија, според техничка спецификација",КАЈМАКЧАЛАН -4 БИТОЛА,26.08.2009,174166666
15,ЕВН Македонија АД- Скопје,Набавка на пластични мерно разводни ормари,Раде Кончар ТЕП,04.12.2009,167042806
16,ЕВН Македонија АД- Скопје,Склучување рамковен договор за изведба на насочена радио мрежа на конзумно подрачје на ЕВН Македонија АД,Брако ДОО,01.06.2009,156380418
17,Акционерско друштво за приредување на игри на среќа Државна лотарија на Македонија Скопје,Набавка на on-line систем за приредување на општи игри на среќа (Implementation of a Lottery Gaming System),МАКПЕТРОЛ АД,23.09.2009,148000000
18,ЈЗУ Клиника за Хематологија,набавка на лекови,Промедика ДООЕЛ,18.08.2009,142273121
19,Агенција за државни патишта,Изработка на техничка документација за 8(осум) Пакети,"ILF Beratende Ingenieure ZT GmbH – Инсбург, Австрија",16.09.2009,141878480
20,Дирекција за технолошки индустриски развојни зони,"Изведба на улици и други пропратни објекти во ТИРЗ ""Скопје 2""",ГД Гранит АД Скопје,18.12.2009,138108977
21,Јавно претпријатие за стопанисување со станбен и деловен простор на Република Македонија,Изведба на сите фази за објект Б-10 Сењак-2 во Штип,Градежно трговско друштво БЕТОН - Штип АД Штип,06.10.2009,131401923
22,Јавно претпријатие за стопанисување со станбен и деловен простор на Република Македонија,Изведба на сите фази за објект Б-10 Сењак-2 во Штип,Градежно трговско друштво БЕТОН - Штип АД Штип,06.10.2009,131401923
23,Агенција за државни патишта,"Рехабилитација на коловозот на делница од регионалниот пат Р-405, Тетово - Јажинце во должина од 16км.",Конструктор Инженеринг д.д. - Сплит,27.10.2009,130287691
24,Министерство за одбрана - сектор за логистика,"Воени теренски моторни возила, количина 34",Ram Dis Ticaret,10.12.2009,119382356
25,Клиника за ендокринологија,"Инсулини, инсулински игли и глукагон",Реплек АД,09.10.2009,119043132
26,Општина Тетово,“Изградба на системот за водоснабдување на Тетово со зафаќање на површински води од Студена река до река Пена (фаза 2)”,Д.Г.И.П. „ЕУРО-ПРОЕКТ“-ТЕТОВО,22.07.2009,118545877
27,ЈП Водовод и канализација - Скопје,Реконструкција и замена на водоводни цевки (збест цементни и поцинкувани цевки) од разни профили според проекти,1. Кодинг ДООЕЛ Скопје; 2. ВАРДАРГРАДБА ДОО с. Трубарево Скопје; 3. Енергомонт Скопје; 4. Делта - Пром ДООЕЛ Велес; 5. Жикол ДООЕЛ Струмица,07.09.2009,118000000
28,Агенција за стоковни резерви,набавка на меркантилна пченица и јачмен за сточна храна за стоковните резерви,Кокра-Е- Арт ДООЕЛ,08.10.2009,107467500
29,Министерство за образование и наука,Изведување на градежни и градежно-занатски работи во основни и средни училишта во Република Македонија.,„Феџо Компани“,16.06.2009,105809939
30,Јавно претпријатие за стопанисување со станбен и деловен простор на Република Македонија,Изведба на сите фази за објект БЛР1 Ц 2 во Битола,ВИА ИНЖЕНЕРИНГ ДОО увоз - извоз Цветомир Вевчани,20.08.2009,105403906
31,Град Скопје,Изградба на бул. Србија од бул. Видое Смилевски Бато до ул. Првомајска 3 во Скопје,"Трговско друштво за градежништво, проектирање консалтинг и услуги „Мавровоинжинеринг“ Доо, Скопје",24.07.2009,104148017
32,"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје","Нафтени деривати, масло, маст и антифриз",ОКТА Рафинерија на нафта А.Д,03.12.2099,102280000
33,Дирекција за технолошки индустриски развојни зони,Изведба на бунари со пропратни објекти и комплетна инфраструктура,ГД Гранит АД Скопје,30.11.2009,101472124
34,АД Електрани на Македонија - Скопје,Лимови за потребите на подружниците на АД ЕЛЕМ - Скопје,"1. Макстил Скопје; 2. Меркур-Скопје; 3. ИГМ ТРЕИД Кавадарци; 4. Еурозон Промонтинг Скопје
",20.05.2009,100000000
35,Министерство за образование и наука,Набавка на материјал и изведба на компјутерска и напонска мрежа во подрачните основни училишта во Република Македонија.,Кабтел ДООЕЛ,17.07.2009,99658901
36,ЕВН Македонија АД- Скопје,Набавка на трифазни електронски броила,"Актарис Метеринг Системи, Ганц Метер Ко.",20.05.2009,97647731
37,Општина Центар,Изработка на скулптура – спомен обележје на Првото заседание на АСНОМ во бронза,Fonderia Artistika F.Marineli,21.07.2009,96380000
