No.,Institution,Contract,Supplier,Date,Amount
1,Акционерско друштво за вршење на енергетски дејности МАКЕДОНСКИ ЕНЕРГЕТСКИ РЕСУРСИ Скопје во државна сопственост,Изградба на магистрален гасовод Делница Неготино(Кавадарци)-Битола.,Градежно друштво ГРАНИТ АД-Скопје,28.10.2016,2239000000
2,"Министерство за земјоделство, шумарство и водостопанство","Изградба на брана ""Речани"" на Оризарска река, општина Кочани",Друштво за рударство и градежништво СИЛЕКС НЕМЕТАЛИ СТ ДООЕЛ Кратово,28.12.2016,1880186435
3,Акционерско друштво за вршење на енергетски дејности МАКЕДОНСКИ ЕНЕРГЕТСКИ РЕСУРСИ Скопје во државна сопственост,Изградба на магистрален гасовод Делница Скопје-Тетово-Гостивар,Друштво за градежништво и услуги РАПИД БИЛД ДОО Куманово,28.10.2016,1782270000
4,Министерство за образование и наука,Изработка на техничка документација за изградба на училишни објекти и училишни спортски сали,Градежен институт МАКЕДОНИЈА АД-Скопје,12.08.2016,1752300000
5,Производство на топлина Балкан Енерџи ДООЕЛ Скопје,Набавка на природен гас до 126.000.000Нм3,Sintez Green Energy Cyprus Limited,07.10.2016,1676367000
6,Народна банка на Република Македонија,ГРАДЕЖНИ РАБОТИ ЗА ИЗГРАДБА НА ОБЈЕКТ НА НАРОДНА БАНКА НА РЕПУБЛИКА МАКЕДОНИЈА,Друштво за градежништво БЕТОН Акционерско друштво Скопје,12.10.2016,1477332301
7,Акционерско друштво за вршење на енергетски дејности МАКЕДОНСКИ ЕНЕРГЕТСКИ РЕСУРСИ Скопје во државна сопственост,Изградба на магистрален гасовод Делница Блок станица 5-Неготино со ГМРС Штип и ГМРС Неготино,Друштво за градежништво и услуги РАПИД БИЛД ДОО Куманово,08.06.2016,1146617488
8,ЕВН Македонија АД- Скопје,Целосно електронски трифазни броила за директно приклучување,"Друштво за трговија, производство, услуги и сервис ИСКРА АТГ ДОО Скопје",18.10.2016,950136000
9,"Министерство за земјоделство, шумарство и водостопанство",Работи за изведба на Главен довод за наводнување од системот Равен - Речица,"Друштво за производство, градежништво, трговија и угостителски услуги АК-ИНВЕСТ,АК-INVEST ДООЕЛ експ",23.12.2016,907409592
10,OОУ Стив Наумов - Скопје,Посебен линиски превоз на ученици на територија на Општина Гази Баба за учебната 2016/2017 година,"Друштво за превоз, промет и услуги СЛОБОДА БУС ПРЕВОЗ ДООЕЛ Скопје",07.11.2016,648270000
11,Јавно сообраќајно претпријатие СКОПЈЕ,Еуродизел БС (D-E V),Акционерско друштво за продажба и транспорт на нафтени деривати АЛОВ АД Гевгелија,14.01.2016,619677000
12,Управа за заштита на културното наследство,Набавка на работи,"Друштво за производство, градежништво, трговија и угостителски услуги АК-ИНВЕСТ,АК-INVEST ДООЕЛ експ",23.05.2016,433368965
13,Општина Центар,Изградба на основно општинско училиште во населба Капиштец – Општина Центар - Скопје,Трговско друштво за производство проектирање и инженеринг ВАРДАРГРАДБА ДОО с.Трубарево - Скопје,28.09.2016,4037934747
14,АД Електрани на Македонија - Скопје,"Услуга од помошна механизација на повик за хидрауличен багер - гасеничар и булдожер - гасеничар, за ПЕ Рудници, РЕК Битола","Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",22.12.2016,377600000
15,АД Електрани на Македонија - Скопје,"Услуга од ископ на јаглен и јаловина, за ПЕ Рудници РЕК Битола",Друштво за градежништво и услуги ПЕЛИСТЕР Битола ДОО,22.12.2016,355198753
16,ЕВН Македонија АД- Скопје,UPE-изолирани енергетски кабли Номинален напон Uo/U 12/20 kV и номинален напон Uo/U 20/35 kV,Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,23.12.2016,338660000
17,Општина Битола,"Изградба на северна трибина како функционален дел од I фаза од градба на фудбалски стадион во локалитетот ,, Тумбе Кафе” - Битола",Градежно друштво ГРАНИТ АД-Скопје,23.08.2016,331855095
18,Јавно претпријатие за државни патишта,"Санација и рехабилитација на државен пат А1, делница Неготино – Демир Капија",Градежно друштво ГРАНИТ АД-Скопје,02.06.2016,305619999
19,ЕВН Македонија АД- Скопје,Броила со вграден ГСМ модем и прекинувач,"Друштво за трговија, производство, услуги и сервис ИСКРА АТГ ДОО Скопје",18.10.2016,297246720
20,Дирекција за задолжителни резерви на нафта и нафтени деривати,Делива набавка на 1(еден) нафтен дериват Еуродизел БС (Д-Е V) за задолжителните резерви на Република Македонија.,ОКТА Рафинерија на нафта Акционерско друштво-Скопје ,18.05.2016,283337062
21,ЕВН Македонија АД- Скопје,"Центрифугирани армиранобетонски столбови, конзоли, ногари и столбни трафостаници","Фабрика КАРПОШ-Акционерско друштво за проектирање,производство и монтажа на бетонски префабрикати,станови,индустриски објекти,мостови и далноводи Скопје",03.03.2016,283200000
22,Министерство за здравство,Реконструкција на ЈЗУ Градска Општа Болница - Струмица,Друштво за градежништво трговија и услуги АМГ ЕДИЛХА ДОО Скопје,13.04.2016,276269142
23,Јавно претпријатие за државни патишта,Рехабилитација на државен пат А2 делница од Гостивар (мост кај село Здуње) до село Колари,Градежно друштво ГРАНИТ АД-Скопје,18.01.2017,250190532
24,М.Ж. ТранспортАД-Скопје,Нафта и нафтени деривати,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",01.06.2016,250000000
25,Министерство за образование и наука,Oткуп на учебници за основно и средно образование и дополнителен дидактички и работен материјал за адаптираните учебници од странство за учебната 2016/2017,Друштво за графички услуги и трговија АРС ЛАМИНА ДОО Скопје,05.08.2016,240498010
26,Акционерско друштво за вршење на енергетски дејности МАКЕДОНСКИ ЕНЕРГЕТСКИ РЕСУРСИ Скопје во државна сопственост,Вршење надзор над изградба на Гасоводен систем на Република Македонија - фаза 1 Делница Неготино(Кавадарци)- Битола и Скопје-Тетово-Гостивар,Друштво за планирање проектирање и инженеринг ПРОСТОР ДОО Куманово,28.10.2016,206264000
27,Министерство за образование и наука,Изградба на студентски домови,"Друштво за градежништво,трговија и услуги НБ-ЦОМПАНУ ДОО Тетово",22.09.2016,203431631
28,ЕВН Македонија АД- Скопје,"Набавка на мерно-разводни ормари (мини, нормални, вградени, улични)","Друштво за производство,трговија и услуги СМЕЛТ-ИНГ ДОО Скопје",20.04.2016,200600000
29,ЕВН Македонија АД- Скопје,"Мерно разводни ормари (без вградување во зид) за директни мерни уреди - Специјална изведба номинален напон Uo/U 0,23/0,4 kV",Друштво за производство и трговија РАДЕ КОНЧАР-ТРАНСФОРМАТОРИ И ЕЛЕКТРИЧНИ ПОСТРОЈКИ-ТЕП ДООЕЛ Скопје,14.03.2016,192045000
30,АД Електрани на Македонија - Скопје,"Услуга од користење помошна и градежна механизација на повик за ПЕ Термоелектрана и ПЕ Рудник, РЕК Битола","Друштво за производство,трговија,услуги и транспорт МИС-КОМЕРЦ Митко ДООЕЛ експорт-импорт Скопје",14.09.2016,188800000
31,ГА-МА АД - Скопје,Тековно одржување и итни приклучоци,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,12.02.2016,180000000
32,Јавно претпријатие за државни патишта,Поправка и рехабилитација на автопатски и магистрални делници,"Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица, Трговско друштво за градежништво производство трговија и угостителство ИЛИНДЕН АД Струга, Друштво за градежништво БЕТОН Акционерско друштво Скопје, STRABAG AG, Градежно друштво ГРАНИТ АД-Скопје",07.09.2016,177000000
33,ЈП Македонија пат - Скопје,Битумен БИТ 50-70,"Друштво за промет на големо и мало,застапување,посредување и реекспорт КИ-ЕМ ДООЕЛ експорт-импорт Скопје",20.06.2016,176983480
34,ЈП Македонија пат - Скопје,Набавка на битумен БИТ 50/70,"Друштво за промет на големо и мало,застапување,посредување и реекспорт КИ-ЕМ ДООЕЛ експорт-импорт Скопје",21.12.2016,174203400
35,Министерство за образование и наука,Изградба на студентски домови,"Друштво за градежништво и трговија МОДИНГ ДООЕЛ Експорт-Импорт,Тетово",22.09.2016,166581618
36,Јавно претпријатие за државни патишта,"Итни градежни работи за санација на државен пат А2, Обиколница на Скопје","Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",26.10.2016,165172310
37,Министерство за образование и наука,Откуп на учебници за основно и средно образование и дополнителен дидактички и работен материјал за адаптираните учебници од странство за учебната 2016/2017,"Друштво за продукција,маркетинг,дизајн,промет и услуги АРБЕРИА-ДЕСИГН ДООЕЛ експорт-импорт Тетово",04.08.2016,164388081
38,АД Електрани на Македонија - Скопје,Довршување на изградбата на администартивната зграда на АД ЕЛЕМ – градежни и градежно занатски работи,Друштво за производство трговија и услуги ОЗОН ДООЕЛ увоз-извоз Скопје,01.03.2016,161277379
39,ЕВН Македонија АД- Скопје,Набавка на Дистрибутивни трансформатори,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,21.12.2016,157768650
40,АД Електрани на Македонија - Скопје,ЈН 01-47/2016 Ангажирање на адвокатска куќа за давање адвокатски услуги.,"Curtis, Mallet-Prevost, Colt & Mosle LLP",28.07.2016,155000000
41,Министерство за здравство,"Jавна набавка на работи Изведба на санација, реконструкција и доградба на ЈЗУ Универзитетска Клиника по Хируршки Болести Св. Наум Охридски- Скопје","Друштво за производство,инжинеринг,услуги и трговија КОНСТРУКТОР Рената и ДР.ДОО Експорт-Импорт Скопје",24.02.2016,147500000
42,АД МЕПСО,Осигурување на имот и вработени во АД МЕПСО за три (3) осигурителни години,Акционерско друштво за осигурување ЕУРОЛИНК Скопје ,07.10.2016,145491291
43,ЕВН Македонија АД- Скопје,UPE-изолирани енергетски кабли Номинален напон Uo/U 12/20 kV и номинален напон Uo/U 20/35 kV,Друштво за градежништво и градежно занаетчиски работи СПЕКТАРТЕРМО ДОО Скопје,23.12.2016,145140000
44,ЈП Водовод и канализација - Скопје,набавка на електрична енергија - по спецификација,"Друштво за производство,трговија и услуги МИСТ ЕНЕРЏИ ДООЕЛ Скопје ",19.07.2016,141600000
45,Општина Сопиште,Изградба на систем за снабдување со вода за пиење,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",10.06.2016,140335956
46,Јавно претпријатие за државни патишта,Санација на мостови на државен пат А2 делница од Гостивар (мост кај село Здуње) до село Колари,Градежно друштво ГРАНИТ АД-Скопје,18.01.2017,136986223
47,ЕВН Македонија АД- Скопје,Набавка на нафтени деривати (гориво) со користење на безготовинска картичка за плаќање,Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,01.02.2016,133833383
48,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,"Градежни, градежно занатски и инсталатерски работи за обезбедување услови за одржување на УЕФА Супер Купот во фудбал во Август 2017 година на Национална Арена Филип II Македонски во Скопје.","Друштво за градежништво, производство, трговија, угостителство и услуги ВИА ИНЖИНЕРИНГ ДОО увоз-извоз Цветомир Вевчани",21.09.2016,129332440
49,ЕВН Македонија АД- Скопје,Целосно електронски еднофазни броила за директно приклучување,"Друштво за трговија, производство, услуги и сервис ИСКРА АТГ ДОО Скопје",31.03.2016,120298636
50,АД Електрани на Македонија - Скопје,01-171/2015 Услуга од застапување пред Меѓународна Арбитража,"Curtis, Mallet-Prevost, Colt & Mosle LLP",22.01.2016,120000000
51,ЕВН Македонија АД- Скопје,"Изолиран нисконапонски воздушен кабел-самоносив кабловски сноп (СКС) Uo/U 0,6/1 kV со самоносечки проводник и самоносив кабловски сноп",Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,10.03.2016,115640000
52,ЕВН Македонија АД- Скопје,"20/0,4 kV/kV Бетонски компактни трафостаници",ПС електрик ООД,12.04.2016,106471400
53,Министерство за внатрешни работи на РМ,Еуродизел БС (Д-Е V),Друштво за трговија на нафтени деривати и услуги ЛУКОИЛ МАКЕДОНИЈА ДООЕЛ Скопје,05.09.2016,103840000
54,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ Универзитетска клиника за радиотерапија и онкологија и ЈЗУ Клиничка болница Битола,"Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје",07.10.2016,103068000
55,Град Скопје,"Реконструкција на фасада на постоен објект во централно градско подрачје на Градот Скопје на ул.“Даме Груев“ бр.14, и бр. 4.5.8","Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",18.04.2016,103053339
56,Дирекција за технолошки индустриски развојни зони,Изградба на парцела со В4 намена за ТИРЗ Струга,Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,06.04.2016,101582286
57,Министерство за транспорт и врски,"Изградба на филтер станица на водоснабдителен систем во Тетово, Општина Тетово","Друштво за производство, градежништво, трговија и угостителски услуги АК-ИНВЕСТ,АК-INVEST ДООЕЛ експ",09.03.2016,101746150
58,Град Скопје,Изградба на забавен парк – Скопје,Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,03.08.2016,101417362
59,Јавно претпријатие за државни патишта,"Рехабилитација на државен пат Р1106, делница мост Близанско - Калуѓерец",Друштво за производство трговија и услуги ЕСКАВАТОРИ-МК ДООЕЛ увоз-извоз-Скопје,20.01.2017,101500005
60,ЈП Комунална хигиена Скопје,Aнгажирање на агенција за привремени вработувања,Агенција за привремени вработувања Мотиви Скопје,25.07.2016,94400000
61,ЈП Улици и Патишта - Скопје,Градежни работи,"Друштво со ограничена одговорност за проектирање, градежништво, внатрешна и надворешна трговија УРБАН ИНВЕСТ ДОО Грков Јован с.Возарци Кавадарци, Друштво за градежништво трговија и услуги АДРА ДООЕЛ увоз-извоз Скопје, Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица, Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје, Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје, Друштво за градежништво, трговија и услуги ГАМА ГРАДБА ДООЕЛ Скопје",16.06.2016,94400000
62,Министерство за образование и наука,Откуп на учебници за основно и средно образование и дополнителен дидактички и работен материјал за адаптираните учебници од странство за учебната 2016/2017,Акционерско друштво за издавање учебници и наставни средства ПРОСВЕТНО ДЕЛО Скопје,08.08.2016,92943371
63,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ Универзитетска клиника за радиотерапија и онкологија и ЈЗУ Клиничка болница Битола,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",07.10.2016,89099217
64,Министерство за образование и наука,Санација и адаптација на СД Гоце Делчев блок А,"Друштво за градежништво,трговија и услуги НБ-ЦОМПАНУ ДОО Тетово",29.01.2016,89044122
65,Јавно претпријатие за државни патишта,"Надзор на изградба на државен пат А2, делница Страцин – Ранковци – Крива Паланка","Друштво за проектирање, градежништво, трговија и услуги ДИВИ МАКЕДОНИЈА ДООЕЛ Скопје",10.03.2016,87309380
66,ЈП Македонски шуми п.о - Скопје,Нафта и нафтени деривати,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,16.05.2016,87084000
67,Општина Куманово,Превоз на ученици во основни и средни училишта во Општина Куманово,"Друштво за превоз,производство,трговија и услуги ОЛИ-ТРАВЕЛ ДООЕЛ увоз-извоз Куманово",11.04.2016,83558601
68,АД Македонска пошта,Услуга – одржување и сервисирање на возила на АД Македонска пошта,Друштво за производство промет и услуги увоз-извоз БАДА-АНГРОМЕХАНИКА Прилеп ДООЕЛ,05.05.2016,82600000
69,Министерство за внатрешни работи на РМ,ЕКСТРА ЛЕСНО МАСЛО ЗА ДОМАЌИНСТВО 1 (ЕЛ-1),"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДООЕЛ с.Пласница Пласница",30.06.2016,82600000
70,Општина Гостивар,"Склучување на рамковна спогодба за изградба и реконструкција на локални патишта, улици, тротоари, патеки и спортски терени и надградба на постоечките мрежни линии и проширување на мрежата со нови линии","Друштво за градежништво, трговија и услуги ГАМА ГРАДБА ДООЕЛ Скопје, Друштво за производство трговија и услуги ДОН-ХАУС ДООЕЛ експорт-импорт с.Мала Речица Тетово, Друштво за градежништво,производство и инженеринг увоз-извоз ПЕЛАГОНИЈА АД Гостивар, Друштво за градежништво проектирање и трговија ПОЛИ ПРОЈЕКТ ИНГ ДОО експорт-импорт Гостивар, Друштво за транспорт трговија и услуги МАГНУМ ТРАНС Р ДООЕЛ увоз извоз Гостивар, Друштво за производство трговија и услуги ДРИТА Мемедали и др. ДОО увоз-извоз Д.Бањица, Друштво за производство,трговија,транспорт,градежништво и услуги ГАРТЕН БАУ ЦЕЛИ ДООЕЛ експорт-импорт с.Чајле,Гостивар",20.06.2016,80000000
71,Општина Тетово,Интервентни санациони-градежни работи на инфраструктурни објекти вo Општина Тетово,"Друштво за градежништво,трговија и услуги НБ-ЦОМПАНУ ДОО Тетово",01.06.2016,80000000
72,Општина Струмица,"Набавка на работи- За изведба на улици и уредување на градежно земјиште по програми (пробивање, тампонирање и асфалтирање) на општина Струмица","Друштво за производство,услуги и трговија увоз-извоз УНИВЕРЗАЛ ГРАДБА ДООЕЛ Струмица",11.07.2016,80000000
73,Агенција за храна и ветеринарство,Лабораториски услуги за здравствена заштита на животните од заразни болести,Факултет за ветеринарна медицина,10.05.2016,80000000
