No.,Institution,Contract,Supplier,Date,Amount
1,Топлификација АД Скопје,масло за горење - мазут,ОКТА Рафинерија на нафта АД Скопје,20.10.2011,895321460
2,Јавно сообраќајно претпријатие СКОПЈЕ,11/2011 ДИЗЕЛ ГОРИВО (D-E IV),МАКПЕТРОЛ АД,21.11.2011,805008000
3,ЈП Водовод и канализација - Скопје,"Изведување на градежни и градежно-занаетчиски работи за изградба на управна зграда на ЈП Водовод и канализација Скопје, според Изведбен проект со сите фази",АЛПИНЕ БАУ ГМБХ Австрија преку подружница Скопје,31.05.2011,610378476
4,Агенција за млади и спорт,Изградба на 100 (сто) повеќенаменски терени за спорт во Република Македонија,КОНСТРУКТОР ИНЖЕНЕРИНГ Д.Д. СПЛИТ- Хрватска,14.04.2011,592075689
5,Јавно претпријатие за стопанисување со станбен и деловен простор на Република Македонија,Градежни работи за изградба на објект Катна гаража 9.13 Голем ринг во Скопје – Градежен дел.,Друштво за градежништво БЕТОН Акционерско Друштво - Скопје,02.09.2011,553634499
6,АД Електрани на Македонија - Скопје,"ЈН 183/2011 купопродажба и испорака на 12,000,00 кг масло за горење(Мазут-М1)",МАКПЕТРОЛ АД СКОПЈЕ,15.11.2011,510694560
7,АД Електрани на Македонија - Скопје,"Услуги од користење на помошна механизација на повик, за потребите на РЕК Битола и РЕК Осломеј",1. МИРСАТ КОМЕРЦ КИЧЕВО; 2. ЈП СТРЕЖЕВО БИТОЛА; 3. НАШ ДОМ КИЧЕВО; 4. МЕТАЛНА ТАЈМИШТЕ; 5. СТЕНТОН ГРАДБА БИТОЛА; 6. РУД КОП ДООЕЛ БИТОЛА; 7. ПЕЛИСТЕР ДОО БИТОЛА; 8. ДИГЕР БИТОЛА; 9. МИС КОМЕРЦ СКОПЈЕ; 10. ФАКОМ АД СКОПЈЕ; 11. Инсталација Кичево; 12. КАЈМАКЧАЛАН -4 БИТОЛА; 13. МАРКОВСКИ КОМПАНИ ДООЕЛ БИТОЛА; 14. ТРАНС МЕТ СКОПЈЕ; 15. ТОРПЕДО МОБИЛ БИТОЛА; 16. ФОРСА АС СКОПЈЕ,13.09.2011,472000000
8,АД Електрани на Македонија - Скопје,ЈН 67/2011 Дополнителен ископ на јаловина и јаглен од свлечиштето на Микро локација -3 во Рудник Суводол -РЕК Битола,Конзорциум:ГРАНИТ АД ;ГП ПЕЛИСТЕР ДОО,23.05.2011,396000000
9,АД Електрани на Македонија - Скопје,"Дополнителен ископ на јаловина и јаглен од локалитет “Стар Рудник“ во РЕК Осломеј, со дисконтинуирана технологија и ориентациона количина од 500.000т јаглен при што, на депонијата на ТЕ Осломеј, Извршителот ќе предава издробен јаглен со гранулација од 0мм до 30мм и минимална топлотна вредност од 6058 КЈ/кг., во се според Дополнителниот Рударски Проект",ПЕЛИСТЕР ДОО БИТОЛА,22.06.2011,354000000
10,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на нафтени деривати за задолжителните резерви на Република Македонија,Рафинерија на нафта ОКТА АД Скопје,22.06.2011,306555542
