No.,Institution,Contract,Supplier,Date,Amount
1,АД Електрани на Македонија - Скопје,Услуга од ископ на јаглен и јаловина во Рудник Брод - Гнеотино ПЕ Рудници,Друштво за градежништво и услуги ПЕЛИСТЕР Битола ДОО,24.10.2014,2908700000
2,Министерство за култура,"Изведување на градежни, градежно-занаетчиски, ентериерни и инсталатерски работи на објект Голема концертна сала за Македонска Филхармонија",STRABAG AG,27.03.2014,1666632000
3,Јавно сообраќајно претпријатие СКОПЈЕ,Изградба на Панорамско тркало со придружни објекти и мост во централното градско подрачје на Скопје,Друштво за градежништво БЕТОН Акционерско друштво Скопје,25.07.2014,1128981761
4,Јавно сообраќајно претпријатие СКОПЈЕ,Дизел Гориво,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,28.01.2014,1032300000
5,Н.У.Ц.К. Иљо Антески-Смок,"Изведба на градежни, градежно-занаетчиски работи и сите други работи, клуч на рака за изградба на објект театар и библиотека во Тетово",Друштво за производство градежништво транспорт угостителство трговија и услуги УРБАН ПЛАН КОНСТРУКТИ,19.11.2014,819504100
6,АД Електрани на Македонија - Скопје,"Набавка, испорака, монтажа и пуштање во работа на опрема за подобрување на телекомуникациите и вмрежувањето на АД ЕЛЕМ",Друштво за трговија и услуги ЕРИКСОН ТЕЛЕКОМУНИКАЦИИ МАКЕДОНИЈА ДООЕЛ експорт-импорт Скопје,22.05.2014,713987988
7,Општина Чаир,Надземен пешачки премин – (споменик обележје плоштад Скендербег – фаза 2),"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",06.11.2014,663964093
8,АД МЕПСО,Изведба на реконструкција и адаптација на фасада со цел подобрување на енергетската ефикасност и реконструкција на внатрешност на административна зграда - Дирекција на АД МЕПСО,Градежно трговско друштво БЕТОН-ШТИП акционерско друштво Штип,09.01.2014,650612485
9,Јавно претпријатие за државни патишта,"Надзор над изградба на автопат А2, делница Кичево - Охрид.",Градежен институт МАКЕДОНИЈА АД-Скопје,19.02.2014,621427767
10,АД Електрани на Македонија - Скопје,ЈН 01-213/2013 Проектирање и изградба на објект шестоседа жичара на Ски центар Попова Шапка.,Leitner AG/SpA,10.03.2014,581002500
11,Јавно претпријатие за државни патишта,"Надзор над изградба на автопат А4, делница Миладиновци – Свети Николе - Штип.","Друштво за градежништво,промет и услуги ГЕИНГ Кребс унд Кифер Интернешнл и др.ДОО Скопје",19.02.2014,496362116
12,Албански Театар - Скопје,"Градежни работи за реконструкција, адаптација и санација на објектот на НУ Албански Театар –Скопје",Lamone Moreda,10.01.2014,495599998
