No.,Institution,Contract,Supplier,Date,Amount
1,Дирекција за технолошки индустриски развојни зони,"Предмет на Договорот е воспоставување на јавно-приватно партнерство за развој, финансирање, управување и вршење работи на основач на технолошко индустриска развојна зона во Тетово.",Друштво за инвестиции НОРМАК ИНВЕСТМЕНТ ГРОУП АД Тетово,05.04.2013,9656285000
2,АД Електрани на Македонија - Скопје,"Услуга од ископ на јаглен и јаловина од свлечиштето на микролокација - 3 во Рудник Суводол - РЕК Битола, со дотур на дробен јаглен на транспортерот ИТУ 2 во склоп на системот за јаглен со дисконтинуирана технологија според Дополнителниот рударски проект","Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",20.11.2013,2360000000
3,Агенција за електронски комуникации,Изградба на антенски систем за контрола и мониторинг на радиофреквенции на територија на Република Македонија,Градежно друштво ГРАНИТ АД-Скопје,26.06.2013,1084706000
4,Министерство за Финансии,Градење на објектот на Министерството за финансии,Трговско друштво ЛСГ БИЛДИНГ СОЛУШНС ДООЕЛ Скопје,20.05.2013,952260000
5,АД Електрани на Македонија - Скопје,ЈН 01-201/2013 Услуги од користење на помошна механизација на повик за потребите на подружница РЕК Битола.,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",12.12.2013,886180000
6,ЕВН Македонија АД- Скопје,Набавка на услуги за обезбедување на имот и лица,Друштво за услуги СЕКЈУРИТИ ГРУП СЕРВИСИС ДООЕЛ Скопје,14.11.2013,725700000
7,АД Електрани на Македонија - Скопје,Изградба на нов административен објект “Деловна зграда АД ЕЛЕМ ”,STRABAG AG,24.04.2013,715100812
8,"Министерство за правда, Управа за извршување на санкциите","Изградба и реконструкција на објекти во комплексот на Казнено-поправен дом Идризово (Општина Гази Баба, Скопје)",ХЕМКОСТАВ А.Д - ПОДРУЖНИЦА СКОПЈЕ,26.08.2013,695946300
9,Служба за општи и заеднички работи на Владата на Република Македонија,Изведување на градежни работи за реконструкција на фасадата и илуминација на објектот на Владата на Република Македонија,"Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје ",19.04.2013,571891720
10,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект Босна и Херцеговина Б 9.3 О-4 во Скопје,Друштво за проектирање и градежништво ИМПЕКСЕЛ 2 ДООEЛ увоз-извоз с.Дебреше Гостивар,09.07.2013,526252807
11,Министерство за култура,"Изведување на градежно – занаетчиски работи со ентериерна обработка за музејска поставка на објект Археолошкиот музеј, Скопје",Градежно трговско друштво БЕТОН-ШТИП акционерско друштво Штип,19.04.2013,497683492
12,ЕВН Македонија АД- Скопје,Целосно електронски трифазни броила за директно приклучување,"Друштво за трговија, производство, услуги и сервис ИСКРА АТГ ДОО Скопје",13.03.2013,434026656
13,Агенција за државни патишта,"Изградба на регионален пат Р2138, врска со регионален пат Р2134, со населбата Сончев Град",Градежно друштво ГРАНИТ АД-Скопје,14.03.2013,412308315
14,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на станбено деловен објект 3.1 (08.01) Комплекс Источна индустриска зона во Скопје,Трговско друштво за производство проектирање и инженеринг ВАРДАРГРАДБА ДОО с.Трубарево - Скопје,22.04.2013,403963788
15,Управа за заштита на културното наследство,"Изведување работи на Возобновување на Светиклиментовиот универзитет на Плаошник Охрид (објекти: Богословски факултет, Манастирски конак, Резиденцијален објект, Компјутерски центар, Афилијации на светски универзитети) според Основен проект , со предмер и под конзерваторски надзор, Охрид",Друштво за трговија и услуги Петар Митаноски МИТАН-ПРОМ Охрид ДООЕЛ,14.02.2013,400406357
16,Министерство за здравство,Изведба на градежни и градежно-занаечиски работи за изградба на објект за позитронска емисиона томографија – ПЕТ Центар Скопје,STRABAG AG,02.10.2013,381140000
17,Агенција за државни патишта,"Изградба на регионален пат Р29272, делница Опаје – Белановце – Станчиќ, граница со Косово",ISA 2000 LTD,30.04.2013,375240000
18,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1 нафтен дериват,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,29.11.2013,302914260
19,ЕВН Македонија АД- Скопје,Целосно електронско трифазно броило за директно приклучување бр. 04/13-01-МК,"Друштво за трговија, производство, услуги и сервис ИСКРА АТГ ДОО Скопје",17.09.2013,292640000
20,Служба за општи и заеднички работи на Владата на Република Македонија,Изведување на градежни работи на фасадата на објектот Државни институции и Факултет за драмски уметности,Друштво за градежништво БЕТОН Акционерско друштво Скопје,03.10.2013,269040000
21,ЕВН Македонија АД- Скопје,Реконструкција и доградба на деловен објект,Друштво за градежништво БЕТОН Акционерско друштво Скопје,22.07.2013,265886381
22,"Министерство за правда, Управа за извршување на санкциите","Изградба на објекти во комплексот на Воспитно-поправен дом Тетово, село Волковија (Општина Брвеница)",Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,13.08.2013,253582000
23,Општина Центар,Изградба на објект катна гаража на ул. Мито Хаџивасилев Јасмин бб,"Друштво за градежништво,производство и инженеринг увоз-извоз ПЕЛАГОНИЈА АД Гостивар",10.01.2013,238715657
24,Служба за општи и заеднички работи на Владата на Република Македонија,Изведување на градежни и градежно занаетчиски работи за изградба на административен објект на улица Македонија во Скопје,"Друштво за производство,трговија градежништво и услуги ДЕКОН-КОМ ДООЕЛ увоз-извоз Скопје",11.09.2013,232729351
25,Национална Установа Завод за заштита на спомениците на културата и Музеј- Струмица,"Реализација на Основен проект за реставрација, реконструкција, санација и статичко појачување на Стариот театар во Струмица","Друштво за промет,производство,транспорт и услуги МАКАУС Благоја ДООЕЛ увоз-извоз Скопје",31.10.2013,210028200
26,ЕВН Македонија АД- Скопје,UPE-изолирани енергетски кабли Номинален напон Uo/U 12/20 kV и номинален напон Uo/U 20/35 kV,Друштво за производство трговија и услуги ЕЛЕКТРОЕЛЕМЕНТ Стојмир и други ДОО увоз-извоз Скопје,08.10.2013,206500000
27,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1(еден) нафтен дериват,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,30.05.2013,202688888
28,АД МЕПСО,Набавка на нов 400/110 kV трансформатор,Кончар Енергетски трансформатори ДОО,15.07.2013,195886210
29,ЈЗУ Клиника за Хематологија,Лекови,"Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје",07.03.2013,179792211
30,АД Електрани на Македонија - Скопје,"Изградба на пат од 4-та категорија, с. Новаци-Руднички круг ПК Брод-Гнеотино, со изработка на проект за изведена состојба и Избор на надворешен надзорен орган кој ќе врши надзор во текот на изградбата на патот и ревизија на проектите под реден бр. 17 и 18 од Техн. Спец.-Прилог 3",Градежно друштво ГРАНИТ АД-Скопје,12.03.2013,173572194
31,ЈП Македонија пат- Скопје,битумен БИТ 50/70,"Друштво за производство, трговија и услуги ПЕРПАРИМИ Нухи Реџепи ДООЕЛ увоз-извоз с.Долно Строгомиште Зајас",12.09.2013,171690000
32,Министерство за образование и наука,изведба на рехабилитација на 10 (десет) основни училишта и 6 (шест) средни училишта во Република Македонија,"Друштво за градежништво, посредување, трговија и услуги АЛДИНГ-ИНЖИНЕРИНГ ДООЕЛ Скопје",31.10.2013,164443874
33,"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",Мазут М-1 НС,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,14.01.2013,164260720
34,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1(еден) нафтен дериват,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,29.05.2013,160503600
35,Агенција за државни патишта,"Рехабилитација на државните патишта Р1104 и Р2133,Липково - с.Арачиново, делница Арачиново – Никуштак - Ропалце",Компанија Ескаватори ДОО Урошевац Р. Косово,22.01.2013,157406000
36,Агенција за млади и спорт,Изградба на затворена спортска сала во Универзитет Св.„Кирил и Методиј“- Скопје,"Друштво за градежништво, трговија и услуги АЛКОНПРОЕКТ ДООЕЛ експорт-импорт Скопје",19.04.2013,154795940
37,Дирекција за задолжителни резерви на нафта и нафтени деривати,Набавка на 1(еден) нафтен дериват,ОКТА Рафинерија на нафта Акционерско друштво-Скопје,29.05.2013,152016667
38,Дирекција за заштита и спасување,Набавка на осум теренски возила 4x4 со дупла кабина ПИК АП,Трговско друштво за трговија со возила и резервни делови ТОЈОТА АВТО ЦЕНТАР ДООЕЛ експорт-импорт Скопје,11.12.2013,149983990
39,Град Скопје,Изведба на површинска фонтана со реконструкција на тротоари – партер на Плоштад „Македонија“,"Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",04.12.2013,147819378
40,ЈП Македонија пат- Скопје,"Набавка на дизел гориво - Еуродизел БС (Д-Е V), екстра лесно гориво ЕЛ (ЕЛ-1( и моторен бензин - Еуросупер БС-95 ","Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДОО с.Ижиште Македонски Брод",19.08.2013,146549628
41,АД Електрани на Македонија - Скопје,"ЈН 290/2013 Услуга од ангажирање на градежна механизација, за рамковна спогодба со еден економски оператор, за Рудници – РЕК Битола.","Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",18.10.2013,141600000
42,АД Електрани на Македонија - Скопје,ЈН 01-139/2013 Ангажирање на градежна механизација на повик за потребите на АД ЕЛЕМ,"Друштво за трговија, производство и услуги МАРКОВСКИ КОМПАНИ Борче ДООЕЛ увоз-извоз Битола",06.09.2013,139830000
43,ЕВН Македонија АД- Скопје,Набавка на Нисконапонски и среднонапонски кабловски прибор,"Друштво за производство,промет и услуги АБЦ-КОНСАЛТИНГ ДОО експорт-импорт Скопје",12.12.2013,138352574
44,Град Скопје,"Изградба на бул.„Трета Македонска Бригада“ фазна реализација, прва фаза од км 0+000,00 до км 1+243,33",Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица,04.10.2013,133104000
45,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ Универзитетска клиника за радиотерапија и онкологија и ЈЗУ Клиничка болница Битола за 2013 година,"Друштво за трговија, производство и услуги ПРОМЕДИКА ДОО Скопје",02.04.2013,129729347
46,АД МЕПСО,Осигурување на имот и вработените во АД МЕПСО за три (3) осигурителни години,Акционерско друштво за осигурување ЕУРОЛИНК Скопје,15.04.2013,124786241
47,ЈЗУ Институт за трансфузиона медицина на Република Македонија Скопје,Фактори на коагулација,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,26.08.2013,122594640
48,Акционерско друштво за изградба и стопанисување со станбен простор и со деловен простор од значење за Републиката - Скопје,Градежни работи за изградба на објект Точила 2 Блок 2/4 во Прилеп,"Друштво за градежништво, производство, трговија, угостителство и услуги ВИА ИНЖИНЕРИНГ ДОО увоз-извоз Цветомир Вевчани",18.03.2013,121985747
49,Дирекција за технолошки индустриски развојни зони,Снабдување со природен гас,Друштво за трговија МАКПЕТРОЛ ПРОМ - ГАС ДООЕЛ Скопје,28.12.2013,120360000
50,ЕВН Македонија АД- Скопје,"Достава,монтажа и пуштање во погон на метално блиндирани SF-6 изолирани 20(24)kVпостројки","Трговско друштво за производство,трговија и услуги АСП увоз-извоз ДООЕЛ Охрид",08.07.2013,118236000
51,Јавно претпријатие за енергетски дејности “Струмица-Гас“ Струмица,Набавка и транспорт на компресиран природен гас (CNG) за потребите на ЈП Струмица-Гас,Друштво за трговија и услуги СИ ЕН ЏИ СИСТЕМС ДООЕЛ увоз-извоз Скопје,05.02.2013,118000000
52,Јавно претпријатие за државни патишта,Изработка на проектна документација за изградба на државен пат А4 делница Штип - Радовиш,Друштво за планирање проектирање и инженеринг ПРОСТОР ДОО Куманово,20.08.2013,116112000
53,ЕВН Македонија АД- Скопје,Сервисирање на возилата на ЕВН Македонија,"Друштво за производство, трговија и услуги ФЛИТ КОНСАЛТИНГ извоз-увоз ДОО Скопје",07.12.2013,114460000
54,Министерство за здравство,Набавка на вакцини за континуирана имунизација по епидемиолошки индикации на населението во Република Македонија за 2013 година,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,10.10.2013,113545577
55,Јавно претпријатие за државни патишта,Рехабилитација на државен пат Р1203 (Р405) делница Тетово - Јажинце,Друштво за градежништво БЕТОН Акционерско друштво Скопје,03.07.2013,109688018
56,Општина Дебар,"Реконструкција, модернизација и одржување на јавното осфетлување во Општина Дебар",Трговско услужно друштво СИТИ ЛАЈТ увоз-извоз Струга ДООЕЛ,09.01.2013,104784000
57,Министерство за култура,"Превод и лектура на стручни литературни дела од проектот „Врвови на светската филозофија, историја и психологија со психоанализа“",Друштво за образование на деца и возрасни АРС СТУДИО Тамара ДООЕЛ-Скопје,12.09.2013,102256086
58,Министерство за здравство,Архитектонско урбанистички проект на целиот комплекс на Универзитетски Клиники.,"Друштво за производство,градежништво,промет и услуги ПРОТОТИП ДООЕЛ Скопје",24.01.2013,100809229
59,Јавно претпријатие за државни патишта,"Изработка на проектна документација за изградба на магистрален (експресен) пат А3, делница Пештани – Граница со Р.Албанија.",Друштво за инженеринг и консалтинг ЧАКАР-ПАРТНЕРС ДОО Скопје,25.06.2013,97444400
60,АД Електрани на Македонија - Скопје,ЈН 01-197/2013 Услуги од користење на помошна механизација на повик за потребите на РЕК Осломеј.,"Друштво за превоз, трговија и услуги МИС-КОМЕРЦ увоз-извоз ДООЕЛ Битола",12.12.2013,94872000
61,ЈП Македонски шуми п.о - Скопје,Нафта и нафтени деривати,МАКПЕТРОЛ Акционерско друштво за промет со нафта и нафтени деривати Скопје,26.12.2013,94400000
62,ЈП Комунална хигиена Скопје,Ангажирање на агенција за привремени вработувања,Агенција за привремени вработувања Мотиви Скопје,15.07.2013,94400000
63,Министерство за култура,"Изведување на градежни, градежно – занаетчиски, завршни и инсталатерски работи на партер, заштита на градежна јама за изведба на машинска сала 1 и проширување на техничка врата на северна фасада на објект Стар театар - Скопје",Lamone Moreda,20.02.2013,93149447
64,Борис Трајковски ДООЕЛ Скопје,Дополнителни работи кои не се вклучени во основниот договор основниот договор за изградба на рекреативен аква парк во рамки на комплексот на Спортскиот Центар БОРИС ТРАЈКОВСКИ во Скопје (арх.бр.3/270-3076 од 26.09.2012 година),"Друштво за градежништво и трговија ЖИКОЛ ДООЕЛ експорт импорт Струмица, АД ПОЛИН Турција и ЕЛЕКТРОУНИОН ДООЕЛ Скопје",08.07.2013,90392892
65,ЕВН Македонија АД- Скопје,UPE-изолирани енергетски кабли Номинален напон Uo/U 12/20 kV и номинален напон Uo/U 20/35 kV,Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,08.10.2013,88500000
66,Министерство за здравство,Метадон и бупренофрин за лицата со болести на зависности во Република Македонија за периодот од 2013 до 2015 година.,Фармацевтска хемиска козметичка индустрија АЛКАЛОИД АД Скопје,31.01.2013,88475625
67,ЈП Македонска Радиотелевизија,15 камерни ланци,Provis d.o.o.,08.02.2013,86643355
68,Министерство за култура,Изведување на работи за дополнување на музејска поставка на ну Музеј на македонската борба за државност и самостојност Музеј на ВМРО Скопје,Друштво за градежништво БЕТОН Акционерско друштво Скопје,04.09.2013,86491659
69,Министерство за култура,Мазут М-1 НС( 1.200.000 кг ориентационо) и Масло за ложење –ЕЛ(537.435 литри ориентационо),"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДОО с.Пласница Пласница",22.10.2013,85006600
70,Општина Струмица,"За изведба на улици и уредување на градежно земјиште по програми FA, FD, J2, JA, JD, JG, JI, JL I JN на општина Струмица","Друштво за производство,услуги и трговија увоз-извоз УНИВЕРЗАЛ ГРАДБА ДООЕЛ Струмица",12.06.2013,85000000
71,Министерство за здравство,Набавка на вакцини за континуирана имунизација и имунизација по епидемиолошки индикации на населението во Република Македонија за 2012 година,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,18.02.2013,83929703
72,ЕВН Македонија АД- Скопје,"Eнергетски кабли со пластична Изолација, Номинален напон U0/U 0,6/1 kV",Друштво за производство трговија и услуги МАК КАБ ДООЕЛ увоз-извоз Скопје,30.07.2013,82600000
73,Град Скопје,"Реконструкција на ул.Митрополит Теодосиј Гологанов - трета фаза, согласно предмер пресметка врз основа на основен проект со тех. бр.122/2012 и 123/2012, изработен од Чакар Партнерс","Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",19.11.2013,80976055
74,Министерство за економија,"Изведба на ентериер на комплексот “Македонско село“, на локалитет с. Горно Нерези – Скопје.","Друштво за градежништво,трговија и услуги БАУЕР БГ ДОО Скопје",15.05.2013,79606513
75,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на ЈЗУ Универзитетска клиника за радиотерапија и онкологија и ЈЗУ клиничка болница Битола за 2013 година,"Акционерско друштво за производство на лекови, медицинска опрема и материјал, промет и услуги Д-Р ПАНОВСКИ Скопје",01.04.2013,78313715
76,АД Електрани на Македонија - Скопје,Систем за следливост на движење и мерење на количините на јаглен и мерење на активност на придружна механизација,"Друштво за производство, трговија и услуги БРАНСИС ДООЕЛ увоз-извоз Скопје",25.11.2013,78222200
77,Министерство за внатрешни работи на РМ,Регистарски таблици на моторни и приклучни возила и пробни таблици за моторни и приклучни возила за период 2013-2016 година и Регистарски таблици на Полицијата за период 2013-2016 година,Друштво со ограничена одговорност РАДЕ КОНЧАР-КОНТАКТОРИ И РЕЛЕИ-Скопје,07.11.2013,76648906
78,АД Електрани на Македонија - Скопје,Изработка на инфструктурни и основни проекти со вклучена ревизија,"Друштво за производство, инженеринг, трговија и консалтинг за течни и гасовити горива ЕНЕРГО СИСТЕМ Михајло и Зоран ДОО увоз-извоз Скопје",07.11.2013,76346000
79,Јавно претпријатие за државни патишта,Надзор над одржување на државни патишта во времетраење од три години,"Друштво за градежништво,промет и услуги ГЕИНГ Кребс унд Кифер Интернешнл и др.ДОО Скопје",11.09.2013,75520000
80,Агенција за електронски комуникации,Ентериер (внатрешно уредување) за деловна зграда на Агенцијата за електронски комуникации,Друштво за производство и трговија ДЕСИГН ФАНТАСИ ДООЕЛ увоз-извоз Скопје,13.03.2013,73123500
81,ЈП Македонска Радиотелевизија,Репортажни возила,BFE Studio und Medien Systeme GmbH,08.02.2013,72570000
82,ЈЗУ Клиника за Хематологија,Лек (IMATINIB),"Друштво за производство, трговија и услуги ФАРМА ТРЕЈД ДООЕЛ увоз-извоз Скопје",05.07.2013,71802556
83,Служба за општи и заеднички работи на Владата на Република Македонија,Изведување на градежни работи на фасадата на објектот Државни институции и Факултет за драмски уметности,Друштво за трговија и услуги НИПРОМ Николов Петре ДОО увоз-извоз Струмица,03.10.2013,71645050
84,ЈП Македонска радиодифузија,"ДВБ-Т опрема за допокривање на територијата на Република Македонија со дигитален сигнал и тоа: l. Предавателна опрема, ll. Микробранова опрема, lll. Антенска опрема и lV. Мерна опрема",ELTI d.o.o.,26.12.2013,71322566
85,АД Електрани на Македонија - Скопје,ЈН 01-201/2013 Услуги од користење на помошна механизација на повик за потребите на подружница РЕК Битола.,"Друштво за производство, трговија и услуги ДИГЕР увоз извоз ДООЕЛ Битола",12.12.2013,70800000
86,АД Електрани на Македонија - Скопје,ЈН 01-172/2013 Дополнителен ископ на јаглен на Микролокација 3 за РЕК Битола.,"Друштво за градежништво, транспорт и трговија ТРАНС МЕТ ДОО Скопје",18.10.2013,70800000
87,Министерство за одбрана - сектор за логистика,Природен гас,Пром - Гас ДООЕЛ Скопје,21.08.2013,70000000
88,Општина Аеродром,Изградба на комунална инфраструктура во населба Реонски центар,"Друштво за производство, промет и услуги САНДРА ИНЖЕНЕРИНГ ДООЕЛ Скопјe",06.08.2013,69620000
89,Град Скопје,Изведба на дополнителни и непредвидени работи кои не се вклучени во основниот договор за - Изградба на објект Катна гаража на ул. „Даме Груев“ а врз основа на претходно склучен договор бр.08-3297/33 од 28.11.2012 година,Друштво за градежништво БЕТОН Акционерско друштво Скопје,26.11.2016,69619516
90,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови за потребите на НЗУ универзитетска клиника за радиотерапија и онкологија за 2013 година,Друштво за промет и услуги АЛКАЛОИД КОНС увоз извоз ДООЕЛ Скопје,11.11.2013,68778369
91,ЈЗУ Институт за трансфузиона медицина на Република Македонија Скопје,Алтернативно лекови за премостување на инхибиторна болест,Друштво за медицинско снабдување увоз-извоз РЕПЛЕК АД Скопје,25.03.2013,68379173
92,Министерство за образование и наука,Доградба на ОУ „Браќа Рамиз и Хамид“ - Општина Шуто Оризари,"Друштво за производство,градежништво,трговија и услуги ФЕЏО-КОМПАНИ ДООЕЛ експорт-импорт с.Слатина-Теарце",10.04.2013,66952378
93,Министерство за транспорт и врски,Услуга за изработка на физибилити студија за развој на дистрибутивни мрежи на природен гас во Република Македонија за потребите на Министерството за транспорт и врски,"Друштво за проектирање,инженеринг,трговија,транспорт и друго ТОПЛИФИКАЦИЈА-ИНЖЕНЕРИНГ ДООЕЛ Скопје",18.07.2013,66900100
94,Министерство за транспорт и врски,Услуга за изработка на физибилити студија за развој на дистрибутивни мрежи на природен гас во Република Македонија за потребите на Министерството за транспорт и врски,"Друштво за проектирање,инженеринг,трговија,транспорт и друго ТОПЛИФИКАЦИЈА-ИНЖЕНЕРИНГ ДООЕЛ Скопје",18.07.2013,66900100
95,Министерство за одбрана - сектор за логистика,Организиран меѓуградски превоз на вработените во МО и АРМ,"Друштво за меѓународен транспорт на патници, трговија и туристички услуги БАШКИМ-ТУРС ДОО експорт-импорт с.Теново-Брвеница",01.11.2013,65806020
96,Министерство за култура,Превод и печатење на литературни дела од проектот „Ѕвезди на светската книжевност“,Друштво за образование на деца и возрасни АРС СТУДИО Тамара ДООЕЛ-Скопје,05.06.2013,63907787
97,Град Скопје,Дополнителни и непредвидени работи за изградба на објект катна гаража „Мито Хаџи Василев Јасмин“ кои не се опфатени со Основниот договор бр.08-2400/32 од 15.03.2011 година,Градежно друштво ГРАНИТ АД-Скопје,31.05.2013,63711620
98,АД Електрани на Македонија - Скопје,ЈН 01-165/2013 Ангажирање на агенција за физичко обезбедување на имот и лица за потребите на АД ЕЛЕМ -Скопје.,Друштво за услуги СЕКЈУРИТИ ГРУП СЕРВИСИС ДООЕЛ Скопје,29.10.2013,63486938
99,ЈП Македонија пат- Скопје,Индустриска сол за зимско одрчување на патишта,"Друштво за промет на големо и мало,застапување,посредување и реекспорт КИ-ЕМ ДООЕЛ експорт-импорт Скопје",22.10.2013,63012000
100,Министерство за здравство,"Нова опрема - ренген апарати, дигитална pacs архива, дијагностичка работна станица и резачи на диком цд/двд","Друштво за трговија со медицинска опрема, апарати и информациони системи во здравството ВИСАРИС МКД увоз-извоз ДООЕЛ Скопје",29.04.2013,62701048
101,ЕВН Македонија АД- Скопје,Набавка на Дистрибутивни трансформатори,Kimtech Bulgaria Ltd.,22.05.2013,62682338
102,ЈП Комунална хигиена Скопје,дизел гориво и екстра лесно,"Друштво за производство, трговија и услуги ПУЦКО ПЕТРОЛ увоз-извоз ДОО с.Ижиште Македонски Брод",28.01.2013,61532500
103,Државна изборна комисија,Набавка на услуги за печатење на гласачките ливчиња и останат доверлив и недоверлив изборен материјал,Акционерско друштво Печатница КИРО Д. ДАНДАРО заштитно друштво Битола,18.03.2013,61500000
104,Град Скопје,Реконструкција и проширување на бул. Христијан Тодоровски Карпош од ул. Џон Кенеди до ул. Рокомија,Друштво за градежништво БЕТОН Акционерско друштво Скопје,29.01.2013,61070629
