No.,Institution,Contract,Supplier,Date,Amount
1,Служба за општи и заеднички работи на Владата на Република Македонија,Изградба на административен објект за Јавното обвинителство и Управата за финансиска полиција.,Друштво за градежништво БЕТОН АД,08.10.2010,813626389
2,АД Електрани на Македонија - Скопје,"Услуги од користење на помошна механизација на повик, за потребите на РЕК",1. Метална Тајмиште; 2. Стрежево ДООЕЛ; 3. Виа Вевчани; 4. Мирсад Комерц; 5. Факом Скопје; 6. Дигер ДООЕЛ; 7. Форса АС; 8. Марковски Компани ДООЕЛ Битола; 9. Пелистер Битола; 10. Руд Коп Битола; 11. Мис Комерц,26.08.2010,650000000
3,Министерство за Финансии,"Работи за доизградба, реконструкција и адаптација на објектот на Министерството за финансии (поранешна зграда на БНТ)клуч во рака","Друштво за градежништво, проектирање и инженеринг ''ЕНЕРГОПЛАН ИНЖЕНЕРИНГ'' ДОО - Скопје",26.07.2010,645873000
4,Управа за заштита на културното наследство,"Изведување на работи за возобновување на Светиклиментовиот универзитет на Плаошник во Охрид. Постапката се спроведува во две фази. Првата фаза е прибирање на документација за претходно утврдување на економската, финансиската и техничката способност (претквалификација) на економските оператори како можни носители на набавката и втора фаза во која договорниот орган врши евалуација на доставените понуди од избраните кандидати во првата фаза, до кои се доставени покани за поднесување на понуди, врз основа на критериуми за доделување на договор.",КОНСТРУКТОР ИНЖЕНЕРИНГ ДД СПЛИТ,22.11.2010,562270325
5,Министерство за култура,Изведување на работите од основните проекти од системите за сценски технологии за објект Театар Велес,Светлост Театар Д.О.О - Белград,30.08.2010,290751856
6,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови кои паѓаат на товар на ФЗОМ за 2010-2011,Промедика,03.08.2010,286129995
7,Министерство за култура,"Набавка на градежни, градежно-занатски и инсталациони работи, пунктирање на релјефи во мермер и лиење на фигури во бронза за објект „Порта Македонија“",ГД „Гранит“ АД,25.10.2010,267630367
8,М.Ж. ТранспортАД-Скопје,Нафта и нафтени деривати,ОКТА,06.08.2010,266203240
9,Државен Универзитет во Тетово,"Довршување на надградба на новиот објект при ДУТ – Тетово како и партерно сообраќајно, ентериерно уредување со инсталации","Д.Г.Т.У "" МОДИНГ "" ДООЕЛ ЕКСПОРТ-ИМПОРТ, ТЕТОВО",10.11.2010,245489534
10,Министерство за образование и наука,"Подготовка, превод, печатење и дистрибуција на учебници за основно и средно образование","1. Графички Центар ДООЕЛ Скопје;        2. Просветно дело АД Скопје
",01.07.2010,209523810
11,Министерство за здравство,набавка на медицинска опрема за потребите на ЈЗУ Клиника за очни болести - Скопје и офталмолошките одделенија и служби во јавните здравствени установи во Република Македонија,Кемо фарм Дооел,12.11.2010,188798733
12,Министерство за здравство,набавка на медицинска опрема за потребите на ЈЗУ Клиника за очни болести - Скопје и офталмолошките одделенија и служби во јавните здравствени установи во Република Македонија,"ДТ""Кемо фарм"" Дооел",12.11.2010,188798733
13,АД Електрани на Македонија - Скопје,светли деривати-еуро дизел и еуро супер 95,АД Макпетрол,15.10.2010,188581205
14,Општина Струмица,Изградба,ДГТ „Жикол„ ДООЕЛ Струмица,06.04.2010,184826081
15,Општина Центар,"Изработка на скулптура на „Воин""во бронза според технички спецификации",Фондерија Артистика Гуастини,16.08.2010,181759235
16,Општина Охрид,Асфалтирање на улици и локални патишта во општина Охрид,АД „Илинден“ - Струга,09.07.2010,163307377
17,Министерство за здравство,"изведување на градежни и градежно-занаетчиски работи во ЈЗУ Психијатриска болница ""Бардовци"" – Скопје",ИНГРА ДД - ЗАГРЕБ,19.07.2010,158066377
18,АД Електрани на Македонија - Скопје,"Работна рака и услуги за време на ремонт во 2010 г, во ТЕ-РЕК Битола, за котловски постројки и помошни објекти",1. МЗТ ИНЖИНЕРИНГ БИТОЛА; 2. ПОМ БИТОЛА; 3. ЕНЕРГОРЕМОНТ ХОЛДИНГ СОФИЈА; 4. ТЕРМИНАЛ БИТОЛА; 5. МОНТИНГ ЕНЕРГЕТИКА ДООЕЛ СКОПЈЕ; 6. ФАКОМ АД СКОПЈЕ,30.04.2010,157884000
19,Министерство за здравство,"изведување на градежни и градежно-занаетчиски работи во ЈЗУ Специјална болница за гинекологија и акушерство ""Чаир"" - Скопје, ЈЗУ Здравствен дом Скопје - Поликлиника ""Идадија"", ЈЗУ Здравствен дом Скопје - Поликлиника ""Букурешт"" и ЈЗУ Здравствен дом Скопје - Поликлиника ""Јане Сандански""",ГБС - БЛАГОЕВГРАД АД,19.07.2010,156118912
20,ЈЗУ Клиника за Хематологија,Набавка на лекови,ДОО.ПРОМЕДИКА СКОПЈЕ ,19.07.2010,151054255
21,Министерство за здравство,Изведување на градежни и градежно-занаетчиски работи во ЈЗУ Општа болница – Охрид.,ГБС - БЛАГОЕВГРАД АД,19.07.2010,150489755
22,Агенција за стоковни резерви,Набавка на мазут М-1 НС за стоковните резерви во количина до 5.000 тони.,ОКТА АД - Скопје,11.06.2010,149999393
23,АД Електрани на Македонија - Скопје,139/2010 Услуга од работна рака за тековно одржување по повик за за 2010 год за потребите на РЕК Битола,1. Транспорт ВЖ Битола; 2. Нова Трговија Битола; 3. Енигма Битола; 4. Маркови кули Прилеп; 5. ДМ Дуал Битола; 6. Шкорпион Тим Битола; 7. Енерготехника Битола; 8. Марковски Компани Битола; 9. Макстрој Битола; 10. Бетон Ком Скопје,08.07.2010,141600000
24,ЈП Водовод и канализација - Скопје,реконструкција и замена на водоводни цевки (азбест цементни и поцинковани) од разни профили по проекти,1.  ДЕЛТА ПРОМ  Велес; 2. ЕНЕРГОМОНТ Скопје; 3. ЖИКОЛ ДООЕЛ  Струмица; 4. ДАН СА ТРЕЈД ДООЕЛ  Скопје; 5. ВАРДАР ГРАДБА ДОО С. Трубарево; 6. БАУЕР – БГ ДОО Скопје; 7. АКВАМОНТ ИНГ ДОО  Скопје; 8. КОДИНГ ДООЕЛ Скопје; 9. НЃ ИНЖЕНЕРИНГ ДООЕЛ  Скопје,23.11.2010,141600000
25,Јавно претпријатие за стопанисување со станбен и деловен простор на Република Македонија,Изведба на сите фази за објект Блок 3.8 објект 20 во Скопје,МАВРОВО ИНЖЕНЕРИНГ ДОО,20.04.2010,141003823
26,ЈП Македонија пат- Скопје,Битумен БИТ 50/70,1. Албимекс - Охрид; 2. ЈСАРГО - Скопје; 3. Технометал Вардар - АД Скопје,11.05.2010,132857970
27,"Јавна установа од областа на здравството за потребите на јавните здравствени установи универзитетски клиники, завод и ургентен центар - Скопје",Набавка на МАЗУТ М-1 НС,ОКТА Рафинерија на нафта А.Д,24.12.2010,126698960
28,ЈП Македонски шуми п.о - Скопје,Набавка на нафта и нафтени деривати,"""Макпетрол"" АД",02.11.2010,117622400
29,Министерство за здравство,"изведување на градежни и градежно-занаетчиски работи во ЈЗУ Специјална болница ""Јасеново"" – Велес",ВАРДАРГРАДБА ДОО,19.07.2010,114761683
30,АД Електрани на Македонија - Скопје,"Транспортни гумени траки, за потребите на РЕК битола и РЕК Осломеј",OZER KONVEYOZ BAND TURIZM,29.11.2010,113873769
31,Акционерско друштво за приредување на игри на среќа Државна лотарија на Македонија Скопје,Адаптација на деловен простор II фаза,ФОРМА доо,02.06.2010,106200045
32,ЈП Комунална хигиена Скопје,Ангажирање на агенција за привремени вработувања,АПВ Мотиви Скопје,30.06.2010,106200000
33,ЈЗУ Универзитетска клиника за радиотерапија и онкологија,Лекови кои паѓаат на товар на ФЗОМ за 2010-2011,АЛКАЛОИД КОНС,06.08.2010,105180334
34,Управа за заштита на културното наследство,Изведување на работи за покривна конструкција со реконструктивни елементи на сакрален објект на археолошки локалитет Скопска тврдина Кале.,МЗТ ИНЖЕНЕРИНГ ДОО Битола,23.12.2010,102734271
35,Агенција за стоковни резерви,Набавка на пченица за стоковните резерви,Кокра Е Арт-1 ДООЕЛ,18.11.2010,101779190
36,ОУ Орце Николов - с.Ињево,"Предмет на договорот е набавка на работи – Изведување на градежни и градежно-занатски работи (продолжување со градба на основно училиште „Орце Николов“ во село Злеово, општина Радовиш)","Д.П.Г.Т.,,Техника,,ДООЕЛ-Радовиш",13.12.2010,98406007
37,Министерство за здравство,изведување на градежни и градежно-занаетчиски работи во ЈЗУ Клиничка болница – Тетово и ЈЗУ Општа болница - Гостивар,ИНГРА ДД - ЗАГРЕБ,19.07.2010,94174562
38,Министерство за здравство,"изведување на градежни и градежно-занаетчиски работи во ЈЗУ Здравствен дом - Прилеп, ЈЗУ Општа болница – Прилеп и ЈЗУ Општа болница - Велес",ГБС - БЛАГОЕВГРАД АД,19.07.2010,93354171
